#{"t_start": 1775937300.418219, "env_id": "None"}
r,l,t
1389.960316,15000,20.470878
12758.90342,15000,41.139279
18228.163079,15000,78.802332
19955.616989,15000,99.662453
19060.585151,15000,136.620994
19950.416101,15000,157.235197
20249.620685,15000,194.369564
21133.594072,15000,214.916939
20688.899783,15000,251.830223
19428.067465,15000,272.696365
22800.974362,15000,309.57915
22069.714156,15000,330.107955
22131.006653,15000,368.31956
21326.610356,15000,388.824436
21943.936094,15000,425.562251
19473.494298,15000,446.339322
21117.624182,15000,483.023232
20389.999042,15000,503.570157
22612.166961,15000,541.010749
21805.854668,15000,562.035759
23323.953881,15000,599.027032
20737.594264,15000,619.873371
23751.840103,15000,656.730763
22873.368666,15000,677.268461
23438.55835,15000,714.342957
21868.262167,15000,734.801486
